state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
TW,Overall,2020-02-23,3.663,24.12,2.36,-4.398,-14.585,-1.675
TW,Overall,2020-02-24,1.236,5.775,4.204,-2.872,-13.729,0.946
TW,Overall,2020-02-25,-0.223,3.71,1.868,-7.987,-11.717,10.863
TW,Overall,2020-02-26,-3.334,3.5,1.589,-9.981,-10.517,11.156
TW,Overall,2020-02-27,-0.59,-9.279,-2.879,-2.951,-4.303,8.884
TW,Overall,2020-02-28,11.063,64.863,12.301,8.161,-14.397,-50.366
TW,Overall,2020-02-29,1.463,30.998,2.667,-6.585,-16.357,-4.017
TW,Overall,2020-03-01,1.74,20.653,1.284,-7.15,-11.482,-0.467
TW,Overall,2020-03-02,-0.517,-10.088,2.035,-8.881,-14.149,10.055
TW,Overall,2020-03-03,-0.737,-2.045,1.616,-9.68,-14.537,14.191
TW,Overall,2020-03-04,-7.258,-14.261,2.351,-15.432,-16.029,13.64
TW,Overall,2020-03-05,-3.415,-29.772,-0.169,-13.627,-18.026,11.175
TW,Overall,2020-03-06,4.219,-0.941,1.228,-4.973,-9.193,10.398
TW,Overall,2020-03-07,7.0,8.974,2.493,-5.0,-18.073,11.357
TW,Overall,2020-03-08,6.715,26.417,2.322,-3.72,-16.403,2.619
TW,Overall,2020-03-09,1.322,-3.139,1.856,-8.782,-14.163,10.45
TW,Overall,2020-03-10,-4.432,-28.796,3.729,-17.767,-18.227,11.377
TW,Overall,2020-03-11,0.964,-3.859,1.289,-9.463,-12.218,14.416
TW,Overall,2020-03-12,-3.541,-14.755,-1.605,-10.176,-15.424,12.406
TW,Overall,2020-03-13,-3.849,-21.51,2.629,-13.112,-12.248,8.55
TW,Overall,2020-03-14,-1.334,-27.616,5.588,-13.871,-25.03,5.544
TW,Overall,2020-03-15,7.09,31.271,1.753,-1.522,-13.467,1.473
TW,Overall,2020-03-16,2.694,0.369,1.677,-7.154,-13.412,10.068
TW,Overall,2020-03-17,1.98,-3.24,1.52,-10.364,-14.934,13.56
TW,Overall,2020-03-18,1.524,-11.357,2.153,-15.32,-15.431,13.387
TW,Overall,2020-03-19,6.058,-29.198,-0.164,-17.618,-20.871,10.961
TW,Overall,2020-03-20,12.365,-4.506,1.872,-7.539,-12.493,8.87
TW,Overall,2020-03-21,8.241,4.469,3.156,-9.912,-22.932,8.626
TW,Overall,2020-03-22,5.788,24.021,3.013,-8.184,-22.36,0.198
TW,Overall,2020-03-23,3.78,-9.332,2.805,-11.858,-19.145,8.503
TW,Overall,2020-03-24,2.825,-5.118,2.516,-13.187,-18.805,12.108
TW,Overall,2020-03-25,1.781,-0.109,2.039,-13.699,-16.911,12.009
TW,Overall,2020-03-26,0.006,-9.595,-0.973,-12.875,-19.672,10.093
TW,Overall,2020-03-27,0.005,-11.361,2.783,-12.546,-16.78,6.95
TW,Overall,2020-03-28,-5.768,-33.416,6.966,-21.104,-33.836,2.801
TW,Overall,2020-03-29,3.116,17.422,3.877,-8.55,-24.129,-1.374
TW,Overall,2020-03-30,-2.158,-13.078,3.538,-14.142,-19.598,5.526
TW,Overall,2020-03-31,1.378,-6.176,2.675,-11.002,-17.12,9.391
TW,Overall,2020-04-01,2.063,-9.783,0.946,-9.818,-6.033,6.903
TW,Overall,2020-04-02,7.871,10.197,10.838,-1.017,-25.576,-50.044
TW,Overall,2020-04-03,10.379,40.482,16.413,-1.049,-31.187,-54.74
TW,Overall,2020-04-04,-5.937,-6.776,7.271,-23.944,-33.246,-22.877
TW,Overall,2020-04-05,-7.023,-11.815,6.076,-22.331,-27.811,-8.984
