state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Tennessee,Overall,2020-02-23,1.019,7.29,-0.288,2.667,2.331,1.487
Tennessee,Overall,2020-02-24,-4.222,-19.263,2.038,-2.392,0.421,1.965
Tennessee,Overall,2020-02-25,2.7,26.627,-0.87,7.559,4.022,3.079
Tennessee,Overall,2020-02-26,5.05,0.346,-0.643,9.6,5.283,2.755
Tennessee,Overall,2020-02-27,4.897,12.773,-1.266,11.299,7.905,1.68
Tennessee,Overall,2020-02-28,4.024,12.34,-1.052,8.742,8.906,1.205
Tennessee,Overall,2020-02-29,8.908,59.944,-2.958,15.949,15.814,5.101
Tennessee,Overall,2020-03-01,11.38,59.123,-2.387,16.468,12.953,2.983
Tennessee,Overall,2020-03-02,3.64,-5.278,0.674,8.133,3.257,2.221
Tennessee,Overall,2020-03-03,12.035,37.706,0.482,16.778,3.854,-7.603
Tennessee,Overall,2020-03-04,10.72,35.837,-1.248,11.686,4.626,0.487
Tennessee,Overall,2020-03-05,10.239,33.375,-1.607,11.081,7.299,0.673
Tennessee,Overall,2020-03-06,4.443,25.383,-0.677,5.481,6.44,-0.14
Tennessee,Overall,2020-03-07,10.103,88.154,-2.703,11.847,15.239,5.697
Tennessee,Overall,2020-03-08,10.729,81.33,-2.093,12.762,13.485,2.265
Tennessee,Overall,2020-03-09,6.528,45.219,0.155,8.422,4.521,0.098
Tennessee,Overall,2020-03-10,8.363,26.452,0.539,7.964,2.514,-0.625
Tennessee,Overall,2020-03-11,11.061,43.513,-0.16,8.01,3.476,-0.264
Tennessee,Overall,2020-03-12,23.987,29.924,0.052,6.818,0.922,-2.459
Tennessee,Overall,2020-03-13,23.441,28.621,1.555,2.045,0.201,-6.095
Tennessee,Overall,2020-03-14,19.225,26.729,1.544,-4.234,1.406,0.657
Tennessee,Overall,2020-03-15,12.629,-1.686,2.558,-8.01,-5.261,-6.835
Tennessee,Overall,2020-03-16,20.33,10.013,5.773,-3.674,-7.216,-14.786
Tennessee,Overall,2020-03-17,16.583,8.411,7.871,-10.255,-9.161,-19.36
Tennessee,Overall,2020-03-18,13.714,21.525,8.897,-14.817,-12.7,-22.338
Tennessee,Overall,2020-03-19,13.996,38.422,8.94,-17.025,-15.941,-23.978
Tennessee,Overall,2020-03-20,9.036,-17.97,12.927,-27.077,-21.711,-27.233
Tennessee,Overall,2020-03-21,9.025,11.014,7.736,-32.967,-15.782,-16.408
Tennessee,Overall,2020-03-22,-0.04,1.475,8.272,-36.591,-29.734,-27.987
Tennessee,Overall,2020-03-23,-2.097,-16.488,14.73,-32.019,-27.516,-33.76
Tennessee,Overall,2020-03-24,-9.522,-28.657,17.2,-38.63,-29.13,-37.55
Tennessee,Overall,2020-03-25,-5.664,33.644,15.405,-33.176,-25.921,-38.142
Tennessee,Overall,2020-03-26,-6.356,57.222,14.496,-30.76,-26.902,-38.589
Tennessee,Overall,2020-03-27,-8.896,40.303,15.919,-34.101,-30.515,-39.124
Tennessee,Overall,2020-03-28,-6.59,48.539,8.936,-37.851,-26.74,-25.682
Tennessee,Overall,2020-03-29,-9.187,35.44,8.424,-35.312,-34.796,-34.383
Tennessee,Overall,2020-03-30,-10.311,10.23,14.923,-30.986,-31.896,-39.008
Tennessee,Overall,2020-03-31,-10.654,-30.107,17.959,-35.731,-31.951,-42.311
Tennessee,Overall,2020-04-01,-1.343,6.983,16.016,-30.684,-28.056,-42.011
Tennessee,Overall,2020-04-02,-0.149,11.022,16.082,-32.594,-30.933,-42.381
Tennessee,Overall,2020-04-03,-1.72,0.657,17.894,-37.268,-35.522,-43.631
Tennessee,Overall,2020-04-04,-5.74,6.269,10.759,-44.753,-33.418,-31.064
Tennessee,Overall,2020-04-05,-9.342,2.486,9.679,-42.97,-41.988,-38.114
