state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Tennessee,Benton County,2020-02-23,,7.29,-0.288,6.479,3.765,5.482
Tennessee,Benton County,2020-02-24,1.532,-19.263,2.038,0.489,-5.144,4.433
Tennessee,Benton County,2020-02-25,3.157,26.627,-0.87,3.314,9.259,2.155
Tennessee,Benton County,2020-02-26,6.219,0.346,-0.643,15.152,2.341,4.894
Tennessee,Benton County,2020-02-27,5.869,12.773,-1.266,19.732,11.447,6.334
Tennessee,Benton County,2020-02-28,18.697,12.34,-1.052,10.888,15.319,5.995
Tennessee,Benton County,2020-02-29,15.077,59.944,-2.958,12.45,31.96,6.41
Tennessee,Benton County,2020-03-01,13.393,59.123,-2.387,21.431,26.355,7.31
Tennessee,Benton County,2020-03-02,9.191,-5.278,0.674,8.803,,2.955
Tennessee,Benton County,2020-03-03,25.253,37.706,0.482,31.25,3.472,-10.057
Tennessee,Benton County,2020-03-04,9.328,35.837,-1.248,14.678,11.704,-7.69
Tennessee,Benton County,2020-03-05,-1.467,33.375,-1.607,19.732,3.434,2.815
Tennessee,Benton County,2020-03-06,6.677,25.383,-0.677,8.711,12.255,7.494
Tennessee,Benton County,2020-03-07,17.818,88.154,-2.703,15.77,34.328,4.808
Tennessee,Benton County,2020-03-08,8.929,81.33,-2.093,19.936,28.865,5.482
Tennessee,Benton County,2020-03-09,4.596,45.219,0.155,9.781,32.15,1.478
Tennessee,Benton County,2020-03-10,22.096,26.452,0.539,14.205,12.731,2.874
Tennessee,Benton County,2020-03-11,3.109,43.513,-0.16,11.837,22.238,2.097
Tennessee,Benton County,2020-03-12,27.876,29.924,0.052,16.979,21.749,1.408
Tennessee,Benton County,2020-03-13,40.064,28.621,1.555,8.711,14.297,-5.995
Tennessee,Benton County,2020-03-14,35.636,26.729,1.544,-0.83,16.572,1.603
Tennessee,Benton County,2020-03-15,11.905,-1.686,2.558,,16.315,-3.655
Tennessee,Benton County,2020-03-16,47.488,10.013,5.773,6.358,10.288,-6.649
Tennessee,Benton County,2020-03-17,33.144,8.411,7.871,-2.841,6.944,-12.931
Tennessee,Benton County,2020-03-18,32.649,21.525,8.897,-3.788,-4.682,-17.478
Tennessee,Benton County,2020-03-19,32.277,38.422,8.94,1.377,2.289,-20.411
Tennessee,Benton County,2020-03-20,28.045,-17.97,12.927,-15.97,-7.149,-24.73
Tennessee,Benton County,2020-03-21,38.377,11.014,7.736,-15.77,10.653,-14.423
Tennessee,Benton County,2020-03-22,7.44,1.475,8.272,-26.914,-21.335,-21.93
Tennessee,Benton County,2020-03-23,19.914,-16.488,14.73,-24.941,-7.716,-27.335
Tennessee,Benton County,2020-03-24,7.891,-28.657,17.2,-33.144,-13.889,-36.638
Tennessee,Benton County,2020-03-25,18.657,33.644,15.405,-17.519,-8.193,-34.955
Tennessee,Benton County,2020-03-26,17.606,57.222,14.496,-19.732,-9.158,-37.303
Tennessee,Benton County,2020-03-27,18.697,40.303,15.919,-27.584,-31.658,-38.969
Tennessee,Benton County,2020-03-28,24.671,48.539,8.936,-29.88,-24.858,-27.244
Tennessee,Benton County,2020-03-29,16.369,35.44,8.424,-29.406,-26.355,-31.067
Tennessee,Benton County,2020-03-30,10.723,10.23,14.923,-25.919,-23.148,-31.767
Tennessee,Benton County,2020-03-31,12.626,-30.107,17.959,-33.617,-19.676,-38.793
Tennessee,Benton County,2020-04-01,21.766,6.983,16.016,-24.621,-12.875,-40.548
Tennessee,Benton County,2020-04-02,54.284,11.022,16.082,-35.334,-10.302,-38.711
Tennessee,Benton County,2020-04-03,110.844,0.657,17.894,-59.161,-38.807,-37.47
Tennessee,Benton County,2020-04-04,84.978,6.269,10.759,-63.911,-20.123,-28.846
Tennessee,Benton County,2020-04-05,86.31,2.486,9.679,-68.78,-33.886,-25.585
Tennessee,Blount County,2020-02-23,-2.656,7.29,0.081,-0.206,3.314,0.707
Tennessee,Blount County,2020-02-24,-7.292,-19.263,0.15,-1.952,5.656,8.993
Tennessee,Blount County,2020-02-25,0.919,26.627,-2.482,8.127,,3.976
Tennessee,Blount County,2020-02-26,5.342,0.346,-0.837,9.844,6.194,3.896
Tennessee,Blount County,2020-02-27,4.326,12.773,-1.077,9.47,-2.067,2.71
Tennessee,Blount County,2020-02-28,7.07,12.34,-1.587,8.122,10.109,3.523
Tennessee,Blount County,2020-02-29,9.75,59.944,-3.031,15.354,2.621,1.51
Tennessee,Blount County,2020-03-01,15.179,59.123,-1.698,13.504,-1.42,
Tennessee,Blount County,2020-03-02,-1.562,-5.278,-0.103,6.469,,9.461
Tennessee,Blount County,2020-03-03,11.023,37.706,0.361,15.265,5.692,-4.582
Tennessee,Blount County,2020-03-04,8.191,35.837,-1.44,10.861,10.135,2.879
Tennessee,Blount County,2020-03-05,5.883,33.375,-0.837,9.933,-0.827,2.033
Tennessee,Blount County,2020-03-06,2.985,25.383,-1.051,3.802,5.274,3.794
Tennessee,Blount County,2020-03-07,11.802,88.154,-2.454,12.847,18.344,5.392
Tennessee,Blount County,2020-03-08,8.918,81.33,-0.744,6.237,-1.894,-2.592
Tennessee,Blount County,2020-03-09,2.083,45.219,-2.089,8.866,-2.357,8.524
Tennessee,Blount County,2020-03-10,7.9,26.452,-0.885,7.303,5.123,2.248
Tennessee,Blount County,2020-03-11,10.506,43.513,-1.351,9.63,12.95,1.778
Tennessee,Blount County,2020-03-12,20.591,29.924,-0.573,9.83,-15.294,-1.355
Tennessee,Blount County,2020-03-13,30.323,28.621,-0.369,5.789,-14.944,-1.988
Tennessee,Blount County,2020-03-14,29.249,26.729,-0.184,0.224,-10.482,0.647
Tennessee,Blount County,2020-03-15,15.748,-1.686,3.226,-10.875,-34.564,-12.962
Tennessee,Blount County,2020-03-16,25.868,10.013,3.283,-0.892,-31.58,-8.899
Tennessee,Blount County,2020-03-17,21.127,8.411,6.471,-11.916,-27.892,-17.894
Tennessee,Blount County,2020-03-18,17.45,21.525,7.193,-12.252,-33.784,-20.833
Tennessee,Blount County,2020-03-19,16.265,38.422,7.86,-14.102,-54.977,-23.713
Tennessee,Blount County,2020-03-20,7.541,-17.97,11.61,-25.793,-54.061,-26.561
Tennessee,Blount County,2020-03-21,14.197,11.014,7.357,-25.65,-54.376,-20.488
Tennessee,Blount County,2020-03-22,7.969,1.475,8.378,-32.626,-65.814,-32.287
Tennessee,Blount County,2020-03-23,-2.778,-16.488,14.863,-30.949,-65.517,-33.442
Tennessee,Blount County,2020-03-24,-4.225,-28.657,16.756,-37.834,-57.491,-40.975
Tennessee,Blount County,2020-03-25,-3.561,33.644,15.754,-32.261,-59.122,-41.243
Tennessee,Blount County,2020-03-26,-5.883,57.222,16.22,-30.365,-73.991,-42.852
