state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
UG,Overall,2020-02-23,-0.044,-8.103,0.511,0.376,-1.615,5.143
UG,Overall,2020-02-24,-3.479,-4.324,0.022,-2.54,-4.045,9.813
UG,Overall,2020-02-25,-1.865,-5.729,-0.005,0.579,-2.986,10.162
UG,Overall,2020-02-26,-4.041,-6.962,-0.758,-3.662,-1.862,8.238
UG,Overall,2020-02-27,-0.393,-6.607,-0.942,0.186,0.888,8.191
UG,Overall,2020-02-28,0.074,-8.433,-0.255,0.085,-0.333,10.506
UG,Overall,2020-02-29,3.526,-4.843,-0.307,5.056,3.461,9.451
UG,Overall,2020-03-01,2.984,-6.993,0.102,4.087,3.61,6.914
UG,Overall,2020-03-02,-0.191,-5.27,-0.121,3.724,-1.096,11.986
UG,Overall,2020-03-03,-0.119,-6.901,0.063,1.061,-2.723,11.53
UG,Overall,2020-03-04,-2.253,-6.456,-0.427,-0.223,0.532,10.28
UG,Overall,2020-03-05,3.023,-4.955,-1.168,3.913,1.509,10.483
UG,Overall,2020-03-06,3.97,-4.395,-1.406,3.553,0.832,13.843
UG,Overall,2020-03-07,5.058,-1.464,-0.364,8.139,3.131,9.705
UG,Overall,2020-03-08,4.037,-5.772,-0.095,6.716,1.33,6.619
UG,Overall,2020-03-09,-0.65,-5.405,0.908,-0.095,-3.877,9.655
UG,Overall,2020-03-10,3.056,-4.166,-0.684,1.929,-1.23,11.778
UG,Overall,2020-03-11,0.155,-4.81,0.069,-0.576,-0.089,9.913
UG,Overall,2020-03-12,2.12,-1.016,-0.513,1.081,-0.799,8.996
UG,Overall,2020-03-13,2.977,-4.395,0.071,0.478,-1.247,12.645
UG,Overall,2020-03-14,5.236,-4.843,0.739,2.563,-1.319,8.968
UG,Overall,2020-03-15,1.272,-10.101,1.063,-0.508,-5.415,5.185
UG,Overall,2020-03-16,-7.99,-8.242,3.028,-7.811,-10.788,5.099
UG,Overall,2020-03-17,3.095,-7.291,-0.957,-0.482,-6.324,11.405
UG,Overall,2020-03-18,2.253,-8.354,-0.203,-3.327,-3.725,9.25
UG,Overall,2020-03-19,8.913,-3.304,-0.193,-1.64,-1.953,6.475
UG,Overall,2020-03-20,7.315,-7.72,1.358,-8.557,,2.71
UG,Overall,2020-03-21,1.959,-10.362,5.278,-10.788,-7.252,3.277
UG,Overall,2020-03-22,0.219,-11.322,8.467,-20.127,-18.904,-0.422
UG,Overall,2020-03-23,-5.123,-8.242,7.614,-16.213,-20.396,-4.1
UG,Overall,2020-03-24,-0.357,-9.375,8.869,-18.019,-25.031,-9.54
UG,Overall,2020-03-25,-16.513,-12.658,11.875,-29.459,-30.951,-19.442
UG,Overall,2020-03-26,-18.337,-7.497,16.689,-41.175,-50.151,-37.733
UG,Overall,2020-03-27,-33.632,-15.678,23.334,-51.292,-58.794,-41.584
UG,Overall,2020-03-28,-26.643,-12.051,19.489,-47.101,-56.284,-35.086
UG,Overall,2020-03-29,-36.417,-15.762,18.898,-49.819,-58.707,-22.723
UG,Overall,2020-03-30,-29.055,-8.918,21.603,-45.642,-57.901,-43.719
UG,Overall,2020-03-31,-52.146,-17.447,31.262,-66.596,-68.155,-62.765
UG,Overall,2020-04-01,-57.581,-19.114,32.772,-69.699,-70.15,-64.731
UG,Overall,2020-04-02,-56.423,-15.756,32.956,-68.508,-69.857,-63.39
UG,Overall,2020-04-03,-56.164,-19.597,33.934,-70.132,-69.938,-61.196
UG,Overall,2020-04-04,-57.667,-19.147,30.633,-69.388,-70.458,-51.549
UG,Overall,2020-04-05,-54.977,-19.537,24.193,-64.158,-68.967,-30.775
