state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
US,Alabama,2020-02-23,2.189,24.939,-0.417,3.488,16.778,1.782
US,Alabama,2020-02-24,-2.786,-13.804,2.287,-2.063,1.793,-2.127
US,Alabama,2020-02-25,2.912,28.125,0.329,7.256,7.758,-1.519
US,Alabama,2020-02-26,5.113,6.962,-0.975,16.242,11.511,0.487
US,Alabama,2020-02-27,5.9,14.381,-0.723,12.262,9.223,1.57
US,Alabama,2020-02-28,6.374,21.253,-1.416,12.831,10.421,0.634
US,Alabama,2020-02-29,10.116,56.904,-3.041,15.197,20.989,5.708
US,Alabama,2020-03-01,10.225,54.977,-2.076,16.977,21.637,3.697
US,Alabama,2020-03-02,4.635,-2.033,0.458,8.47,4.958,1.728
US,Alabama,2020-03-03,15.197,34.375,-1.31,21.076,5.276,2.533
US,Alabama,2020-03-04,0.154,-8.354,1.199,6.977,1.6,0.283
US,Alabama,2020-03-05,6.459,-0.304,0.852,7.09,3.748,1.58
US,Alabama,2020-03-06,4.249,30.433,-1.052,9.617,10.236,1.786
US,Alabama,2020-03-07,8.176,65.222,-2.46,12.439,18.597,7.78
US,Alabama,2020-03-08,8.239,56.837,-1.488,12.457,20.989,3.4
US,Alabama,2020-03-09,8.744,46.494,-1.114,10.397,9.652,1.646
US,Alabama,2020-03-10,8.218,21.554,0.481,8.866,4.5,0.652
US,Alabama,2020-03-11,8.243,28.108,-0.806,10.638,7.072,0.959
US,Alabama,2020-03-12,22.48,44.436,-1.184,10.73,8.138,1.181
US,Alabama,2020-03-13,33.161,27.252,0.316,6.923,7.411,-1.67
US,Alabama,2020-03-14,28.904,56.967,-0.201,0.902,12.737,4.353
US,Alabama,2020-03-15,17.078,16.879,2.435,-7.487,6.154,-3.98
US,Alabama,2020-03-16,25.24,22.442,4.14,-2.288,1.793,-10.842
US,Alabama,2020-03-17,18.076,25.962,7.493,-11.326,-1.396,-17.592
US,Alabama,2020-03-18,14.006,40.466,8.532,-13.698,-2.839,-23.07
US,Alabama,2020-03-19,16.053,27.697,10.726,-21.062,-7.842,-26.169
