state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
UY,Artigas Department,2020-02-23,62.767,101.918,2.338,101.852,-6.322,12.897
UY,Artigas Department,2020-02-24,41.853,153.62,5.526,50.113,-9.875,-16.294
UY,Artigas Department,2020-02-25,-6.51,70.755,4.79,13.46,-14.072,-25.164
UY,Artigas Department,2020-02-26,11.984,26.573,-0.271,11.029,-0.24,13.021
UY,Artigas Department,2020-02-27,1.751,4.65,0.659,-9.422,-0.797,13.369
UY,Artigas Department,2020-02-28,11.285,9.71,0.133,7.219,-2.565,17.55
UY,Artigas Department,2020-02-29,20.833,,0.679,7.852,-5.699,3.668
UY,Artigas Department,2020-03-01,17.361,-5.246,4.262,1.543,-15.468,-0.992
UY,Artigas Department,2020-03-02,13.951,15.783,-0.344,7.883,0.806,27.351
UY,Artigas Department,2020-03-03,16.741,13.758,-1.279,13.46,3.734,32.772
UY,Artigas Department,2020-03-04,17.515,21.258,-1.719,18.995,6.412,35.666
UY,Artigas Department,2020-03-05,7.878,-0.93,-1.866,4.188,5.344,35.651
UY,Artigas Department,2020-03-06,18.229,7.062,-2.895,6.188,5.568,37.93
UY,Artigas Department,2020-03-07,20.833,-4.63,0.756,2.094,-4.319,5.869
UY,Artigas Department,2020-03-08,12.019,8.993,2.787,10.031,-9.981,7.937
UY,Artigas Department,2020-03-09,6.51,8.418,-1.727,6.757,6.308,42.481
UY,Artigas Department,2020-03-10,7.44,6.879,-2.116,8.193,4.185,43.305
UY,Artigas Department,2020-03-11,-1.844,10.629,-1.509,5.515,2.395,39.629
UY,Artigas Department,2020-03-12,-7.003,-5.58,-1.344,-8.899,1.141,35.651
UY,Artigas Department,2020-03-13,5.208,-0.883,-2.484,-2.578,0.692,32.835
UY,Artigas Department,2020-03-14,2.604,-37.037,8.668,-26.173,-32.531,-4.401
UY,Artigas Department,2020-03-15,-20.032,-57.704,12.553,-40.895,-39.903,-14.881
UY,Artigas Department,2020-03-16,-3.72,-25.253,8.471,-23.649,-27.061,7.565
UY,Artigas Department,2020-03-17,-15.811,-41.274,11.645,-30.431,-37.452,4.682
UY,Artigas Department,2020-03-18,-18.437,-42.517,15.846,-32.475,-47.096,-6.227
UY,Artigas Department,2020-03-19,-14.881,-53.013,16.886,-44.493,-48.876,-13.369
UY,Artigas Department,2020-03-20,-14.757,-51.201,17.818,-44.864,-46.384,-15.851
UY,Artigas Department,2020-03-21,-32.986,-61.728,17.947,-55.486,-56.443,-21.273
UY,Artigas Department,2020-03-22,-50.748,-75.689,20.892,-66.358,-68.533,-27.778
UY,Artigas Department,2020-03-23,-30.692,-57.87,18.623,-53.491,-52.616,-23.277
UY,Artigas Department,2020-03-24,-44.643,-65.841,19.463,-55.595,-56.485,-26.919
UY,Artigas Department,2020-03-25,-42.404,-59.524,20.058,-54.534,-56.751,-28.872
UY,Artigas Department,2020-03-26,-45.518,-62.314,20.984,-58.626,-58.26,-29.523
UY,Artigas Department,2020-03-27,-37.326,-61.794,22.144,-54.662,-58.347,-27.174
UY,Artigas Department,2020-03-28,-37.326,-67.13,20.152,-54.439,-64.054,-24.208
UY,Artigas Department,2020-03-29,-46.741,-74.191,21.747,-62.5,-71.455,-24.802
UY,Artigas Department,2020-03-30,-33.482,-54.714,19.973,-50.113,-57.114,-23.859
UY,Artigas Department,2020-03-31,-31.622,-58.962,19.633,-43.89,-58.884,-21.653
UY,Artigas Department,2020-04-01,-24.889,-47.832,20.572,-39.828,-59.773,-26.042
UY,Artigas Department,2020-04-02,-18.382,-45.573,20.513,-39.782,-55.289,-25.624
UY,Artigas Department,2020-04-03,-8.681,-42.373,20.707,-34.55,-51.665,-19.814
UY,Artigas Department,2020-04-04,-6.076,-56.327,18.645,-40.306,-56.762,-19.806
UY,Artigas Department,2020-04-05,-28.045,-70.444,21.214,-57.099,-68.195,-21.825
UY,Canelones Department,2020-02-23,-1.449,-18.241,2.284,-5.715,-18.443,-1.814
UY,Canelones Department,2020-02-24,1.525,43.054,7.087,-3.393,2.884,-37.81
UY,Canelones Department,2020-02-25,-8.628,-12.603,6.597,-17.673,-9.596,-37.857
UY,Canelones Department,2020-02-26,-2.157,-14.114,-0.42,-4.03,-8.077,3.665
UY,Canelones Department,2020-02-27,-8.062,-2.433,0.415,-6.132,-8.693,3.997
UY,Canelones Department,2020-02-28,-4.92,-17.223,-0.408,-1.721,-6.776,7.226
UY,Canelones Department,2020-02-29,-5.288,-20.267,0.389,-5.973,-12.933,2.936
UY,Canelones Department,2020-03-01,-11.844,-27.522,4.082,-16.671,-25.541,-3.735
UY,Canelones Department,2020-03-02,-1.48,-19.36,-0.599,-2.974,-12.66,17.882
UY,Canelones Department,2020-03-03,4.024,-13.514,-2.175,-2.269,-8.864,21.683
UY,Canelones Department,2020-03-04,5.369,-13.96,-2.335,1.439,-6.944,23.118
UY,Canelones Department,2020-03-05,-0.737,-12.013,-2.683,-1.572,-10.286,24.179
UY,Canelones Department,2020-03-06,-1.388,-19.479,-3.889,-2.203,-9.234,27.246
