state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Utah,Overall,2020-02-23,12.776,41.907,-0.98,11.359,7.266,2.142
Utah,Overall,2020-02-24,8.281,6.935,-0.266,4.939,4.815,3.268
Utah,Overall,2020-02-25,8.745,22.452,-0.889,6.57,3.243,2.942
Utah,Overall,2020-02-26,10.455,25.535,-1.287,10.252,6.388,2.139
Utah,Overall,2020-02-27,11.779,37.001,-1.091,9.628,7.543,2.143
Utah,Overall,2020-02-28,13.828,47.886,-1.703,7.691,9.883,4.969
Utah,Overall,2020-02-29,12.411,36.075,-1.593,5.457,9.505,3.63
Utah,Overall,2020-03-01,7.959,-17.439,0.53,2.122,4.68,-0.697
Utah,Overall,2020-03-02,15.8,11.001,-0.681,9.71,4.86,2.919
Utah,Overall,2020-03-03,15.876,34.675,-0.367,10.017,1.599,-0.139
Utah,Overall,2020-03-04,15.564,50.344,-1.062,8.57,6.122,1.85
Utah,Overall,2020-03-05,16.518,65.03,-1.075,9.831,5.431,1.889
Utah,Overall,2020-03-06,15.482,61.086,-1.199,6.936,4.462,4.553
Utah,Overall,2020-03-07,13.467,46.732,-0.952,4.651,6.889,3.125
Utah,Overall,2020-03-08,14.924,20.489,-0.521,11.49,5.419,1.345
Utah,Overall,2020-03-09,14.379,37.148,-0.096,7.613,1.53,1.008
Utah,Overall,2020-03-10,14.51,76.979,-0.775,7.685,-1.732,1.468
Utah,Overall,2020-03-11,19.211,51.633,-0.711,8.034,-0.089,1.003
Utah,Overall,2020-03-12,47.359,64.791,-0.115,10.444,-1.767,-0.543
Utah,Overall,2020-03-13,44.325,12.428,3.184,-1.75,-9.508,-3.906
Utah,Overall,2020-03-14,22.575,14.707,3.913,-13.406,-8.063,-3.009
Utah,Overall,2020-03-15,24.494,68.231,3.657,-6.433,-4.495,-19.029
Utah,Overall,2020-03-16,30.128,61.701,7.521,-7.031,-16.605,-21.911
Utah,Overall,2020-03-17,21.627,95.444,10.324,-17.846,-22.033,-28.045
Utah,Overall,2020-03-18,19.975,13.935,16.986,-26.098,-33.493,-42.258
Utah,Overall,2020-03-19,7.848,7.623,15.987,-29.731,-32.8,-36.528
Utah,Overall,2020-03-20,10.391,22.328,15.852,-33.463,-35.363,-35.056
Utah,Overall,2020-03-21,-1.14,47.958,9.658,-39.791,-28.355,-19.606
Utah,Overall,2020-03-22,-2.779,83.813,7.228,-33.47,-31.528,-33.749
Utah,Overall,2020-03-23,-2.235,19.292,15.232,-30.898,-36.99,-38.73
Utah,Overall,2020-03-24,-4.228,27.394,16.788,-32.911,-39.002,-41.25
Utah,Overall,2020-03-25,-5.385,1.369,18.016,-34.261,-40.369,-43.112
Utah,Overall,2020-03-26,-5.331,-1.588,19.395,-36.048,-42.757,-44.08
Utah,Overall,2020-03-27,-4.066,13.692,18.299,-38.098,-42.577,-40.748
Utah,Overall,2020-03-28,-15.936,-1.066,12.836,-46.435,-40.424,-27.778
Utah,Overall,2020-03-29,-14.213,26.391,10.07,-40.946,-43.72,-39.95
Utah,Overall,2020-03-30,-10.103,26.626,17.301,-35.712,-41.985,-45.615
Utah,Overall,2020-03-31,-8.194,57.821,18.114,-34.359,-40.556,-47.356
Utah,Overall,2020-04-01,-6.742,39.228,18.663,-33.965,-40.547,-48.687
Utah,Overall,2020-04-02,-9.043,8.02,20.643,-36.978,-46.334,-49.368
Utah,Overall,2020-04-03,-5.161,32.579,19.55,-38.061,-45.58,-46.849
Utah,Overall,2020-04-04,-17.899,21.261,13.522,-49.013,-42.4,-34.242
Utah,Overall,2020-04-05,-13.455,15.914,10.354,-42.373,-48.585,-42.69
