state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Utah,Beaver County,2020-02-23,12.776,41.907,-0.98,11.359,14.269,2.142
Utah,Beaver County,2020-02-24,8.281,6.935,-0.266,4.939,21.93,3.268
Utah,Beaver County,2020-02-25,8.745,22.452,-0.889,6.57,8.446,2.942
Utah,Beaver County,2020-02-26,10.455,25.535,-1.287,10.252,,2.139
Utah,Beaver County,2020-02-27,11.779,37.001,-1.091,9.628,38.11,2.143
Utah,Beaver County,2020-02-28,13.828,47.886,-1.703,7.691,29.605,4.969
Utah,Beaver County,2020-02-29,12.411,36.075,-1.593,5.457,13.186,3.63
Utah,Beaver County,2020-03-01,7.959,-17.439,0.53,2.122,22.831,-0.697
Utah,Beaver County,2020-03-02,15.8,11.001,-0.681,9.71,27.412,2.919
Utah,Beaver County,2020-03-03,15.876,34.675,-0.367,10.017,8.446,-0.139
Utah,Beaver County,2020-03-04,15.564,50.344,-1.062,8.57,8.479,1.85
Utah,Beaver County,2020-03-05,16.518,65.03,-1.075,9.831,34.299,1.889
Utah,Beaver County,2020-03-06,15.482,61.086,-1.199,6.936,23.026,4.553
Utah,Beaver County,2020-03-07,13.467,46.732,-0.952,4.651,22.416,3.125
Utah,Beaver County,2020-03-08,14.924,20.489,-0.521,11.49,25.685,1.345
Utah,Beaver County,2020-03-09,14.379,37.148,-0.096,7.613,42.032,1.008
Utah,Beaver County,2020-03-10,14.51,76.979,-0.775,7.685,8.446,1.468
Utah,Beaver County,2020-03-11,19.211,51.633,-0.711,8.034,14.535,1.003
Utah,Beaver County,2020-03-12,47.359,64.791,-0.115,10.444,36.839,-0.543
Utah,Beaver County,2020-03-13,44.325,12.428,3.184,-1.75,17.544,-3.906
Utah,Beaver County,2020-03-14,22.575,14.707,3.913,-13.406,22.416,-3.009
Utah,Beaver County,2020-03-15,24.494,68.231,3.657,-6.433,24.258,-19.029
Utah,Beaver County,2020-03-16,30.128,61.701,7.521,-7.031,34.722,-21.911
Utah,Beaver County,2020-03-17,21.627,95.444,10.324,-17.846,25.338,-28.045
Utah,Beaver County,2020-03-18,19.975,13.935,16.986,-26.098,8.479,-42.258
Utah,Beaver County,2020-03-19,7.848,7.623,15.987,-29.731,5.081,-36.528
Utah,Beaver County,2020-03-20,10.391,22.328,15.852,-33.463,-3.289,-35.056
Utah,Beaver County,2020-03-21,-1.14,47.958,9.658,-39.791,7.911,-19.606
Utah,Beaver County,2020-03-22,-2.779,83.813,7.228,-33.47,,-33.749
Utah,Beaver County,2020-03-23,-2.235,19.292,15.232,-30.898,18.275,-38.73
