state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
VN,Overall,2020-02-23,-5.536,-5.765,6.452,-9.214,-12.323,-4.901
VN,Overall,2020-02-24,-4.577,-1.902,5.369,-7.136,-9.937,6.461
VN,Overall,2020-02-25,-3.611,-5.351,5.058,-10.03,-8.755,9.203
VN,Overall,2020-02-26,-9.443,-8.19,3.44,-9.537,-11.347,7.894
VN,Overall,2020-02-27,-8.571,-8.734,1.917,-10.875,-13.404,6.589
VN,Overall,2020-02-28,-7.729,-7.266,5.986,-5.889,-9.04,-3.063
VN,Overall,2020-02-29,-2.699,-8.765,6.381,-5.506,-5.414,-1.503
VN,Overall,2020-03-01,-2.881,-2.225,5.091,-5.297,-5.086,-3.007
VN,Overall,2020-03-02,-4.894,-4.091,4.692,-7.689,-9.455,12.216
VN,Overall,2020-03-03,-6.22,-9.907,4.622,-11.89,-9.97,14.159
VN,Overall,2020-03-04,-14.988,-17.134,4.635,-13.815,-16.634,10.936
VN,Overall,2020-03-05,-8.052,-11.848,1.617,-10.757,-13.636,11.169
VN,Overall,2020-03-06,-4.867,-8.523,5.312,-2.524,-8.664,2.774
VN,Overall,2020-03-07,4.276,-12.204,6.587,-6.637,-9.063,3.736
VN,Overall,2020-03-08,1.885,-4.119,6.359,-4.154,-11.356,-2.05
VN,Overall,2020-03-09,-5.163,-6.448,5.824,-12.497,-14.608,9.777
VN,Overall,2020-03-10,-4.954,-10.614,5.748,-14.895,-14.612,12.78
VN,Overall,2020-03-11,-9.363,-11.91,4.209,-14.098,-16.787,11.199
VN,Overall,2020-03-12,-10.465,-12.773,2.778,-18.094,-21.078,8.347
VN,Overall,2020-03-13,-12.106,-15.02,7.805,-15.24,-20.995,-1.521
VN,Overall,2020-03-14,-9.404,-20.905,9.133,-17.676,-20.763,-0.408
VN,Overall,2020-03-15,-10.478,-16.146,8.835,-19.372,-23.237,-4.719
VN,Overall,2020-03-16,-10.295,-12.185,7.545,-18.234,-22.656,7.739
VN,Overall,2020-03-17,-13.456,-17.673,7.511,-23.943,-23.851,8.378
VN,Overall,2020-03-18,-18.331,-22.36,6.871,-24.28,-27.86,6.861
VN,Overall,2020-03-19,-16.623,-21.924,5.248,-26.375,-29.722,5.22
VN,Overall,2020-03-20,-14.029,-18.99,9.47,-20.992,-27.06,-4.012
VN,Overall,2020-03-21,-12.412,-23.81,10.661,-23.483,-27.499,-3.452
VN,Overall,2020-03-22,-14.895,-20.556,10.52,-25.993,-31.559,-7.458
VN,Overall,2020-03-23,-11.507,-15.368,9.105,-23.135,-29.253,4.348
VN,Overall,2020-03-24,-11.723,-17.963,9.092,-26.854,-29.081,5.674
VN,Overall,2020-03-25,-16.629,-21.168,7.705,-28.537,-31.448,3.141
VN,Overall,2020-03-26,-16.985,-21.843,6.552,-33.89,-35.109,-0.512
VN,Overall,2020-03-27,-17.873,-24.553,12.153,-34.905,-34.611,-11.574
VN,Overall,2020-03-28,-20.473,-33.352,15.262,-44.853,-40.679,-15.21
VN,Overall,2020-03-29,-28.733,-32.66,15.826,-52.435,-49.327,-19.865
VN,Overall,2020-03-30,-27.257,-27.776,14.592,-50.011,-48.041,-10.886
VN,Overall,2020-03-31,-18.593,-30.914,14.047,-51.838,-46.747,-10.869
VN,Overall,2020-04-01,-38.752,-40.753,16.335,-61.152,-58.888,-22.68
VN,Overall,2020-04-02,-42.171,-43.651,22.998,-66.758,-67.223,-57.92
VN,Overall,2020-04-03,-43.107,-43.489,22.421,-63.166,-63.945,-35.897
VN,Overall,2020-04-04,-41.953,-48.674,22.915,-65.244,-64.502,-32.974
VN,Overall,2020-04-05,-44.218,-47.245,21.671,-66.695,-66.994,-32.077
