state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Virginia,Overall,2020-02-23,2.792,43.087,-0.679,4.863,6.538,2.181
Virginia,Overall,2020-02-24,-0.104,3.633,0.258,1.106,1.097,5.474
Virginia,Overall,2020-02-25,0.969,11.102,0.044,3.903,2.082,2.792
Virginia,Overall,2020-02-26,4.05,6.659,-0.714,6.942,5.844,1.763
Virginia,Overall,2020-02-27,3.867,4.214,-0.554,6.298,6.116,1.822
Virginia,Overall,2020-02-28,3.785,7.442,-0.843,6.181,6.195,2.043
Virginia,Overall,2020-02-29,6.167,-1.231,-1.202,5.964,6.049,1.859
Virginia,Overall,2020-03-01,8.887,24.341,-1.266,9.881,9.148,2.477
Virginia,Overall,2020-03-02,5.366,19.817,-0.532,7.135,1.954,5.203
Virginia,Overall,2020-03-03,9.958,39.724,0.149,13.819,1.993,-3.794
Virginia,Overall,2020-03-04,7.562,38.718,-1.158,8.612,5.438,2.056
Virginia,Overall,2020-03-05,5.975,18.756,-0.724,6.014,4.342,2.244
Virginia,Overall,2020-03-06,0.703,5.192,0.487,2.663,2.59,1.161
Virginia,Overall,2020-03-07,7.938,27.402,-1.047,5.735,7.968,1.295
Virginia,Overall,2020-03-08,8.023,62.269,-0.945,7.327,7.069,0.359
Virginia,Overall,2020-03-09,7.527,64.076,-0.206,6.936,-1.063,2.584
Virginia,Overall,2020-03-10,7.947,39.566,-0.161,6.158,-1.499,0.656
Virginia,Overall,2020-03-11,9.506,40.431,-0.162,7.267,0.371,-0.977
Virginia,Overall,2020-03-12,19.559,43.625,0.473,7.451,-2.923,-2.76
Virginia,Overall,2020-03-13,21.75,46.558,2.75,3.151,-7.998,-7.925
Virginia,Overall,2020-03-14,14.106,37.031,2.546,-7.229,-6.41,-2.522
Virginia,Overall,2020-03-15,5.102,-12.752,4.813,-13.891,-16.726,-10.672
Virginia,Overall,2020-03-16,13.61,10.003,8.813,-7.344,-24.585,-20.021
Virginia,Overall,2020-03-17,10.254,52.456,10.7,-13.484,-25.49,-27.55
Virginia,Overall,2020-03-18,5.356,25.828,13.439,-20.672,-30.015,-32.855
Virginia,Overall,2020-03-19,4.826,62.011,14.228,-22.684,-33.978,-34.62
Virginia,Overall,2020-03-20,3.106,59.452,15.467,-26.091,-36.369,-35.922
Virginia,Overall,2020-03-21,-3.582,5.864,10.947,-37.203,-33.653,-23.522
Virginia,Overall,2020-03-22,-11.699,15.041,10.025,-38.443,-42.739,-30.931
Virginia,Overall,2020-03-23,-10.405,-28.83,18.621,-33.587,-49.48,-40.209
Virginia,Overall,2020-03-24,-7.026,29.254,17.267,-31.038,-42.971,-42.139
Virginia,Overall,2020-03-25,-16.729,-28.016,21.047,-39.266,-49.1,-46.31
Virginia,Overall,2020-03-26,-9.023,34.409,18.834,-35.068,-46.227,-44.809
Virginia,Overall,2020-03-27,-12.992,41.452,19.633,-37.005,-48.694,-44.197
Virginia,Overall,2020-03-28,-13.572,23.746,12.392,-41.765,-44.42,-30.966
Virginia,Overall,2020-03-29,-15.683,45.848,10.557,-39.459,-49.901,-36.029
Virginia,Overall,2020-03-30,-8.51,20.95,17.771,-31.765,-49.188,-44.101
Virginia,Overall,2020-03-31,-17.048,-14.574,20.554,-39.883,-51.121,-48.113
Virginia,Overall,2020-04-01,-12.04,-10.845,20.991,-37.893,-49.754,-49.433
Virginia,Overall,2020-04-02,-12.388,9.123,20.963,-38.127,-51.769,-49.064
Virginia,Overall,2020-04-03,-11.515,12.937,21.613,-37.78,-52.464,-48.321
Virginia,Overall,2020-04-04,-14.276,3.62,13.64,-45.064,-50.649,-33.924
Virginia,Overall,2020-04-05,-17.849,20.781,11.805,-43.802,-55.954,-39.045
