state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Virginia,Accomack County,2020-02-23,6.155,43.087,-0.679,15.419,6.538,1.184
Virginia,Accomack County,2020-02-24,3.226,3.633,0.258,3.286,1.097,2.248
Virginia,Accomack County,2020-02-25,-2.741,11.102,0.044,1.294,2.082,1.86
Virginia,Accomack County,2020-02-26,,6.659,-0.714,13.059,5.844,2.178
Virginia,Accomack County,2020-02-27,5.23,4.214,-0.554,11.253,6.116,2.577
Virginia,Accomack County,2020-02-28,2.178,7.442,-0.843,6.72,6.195,1.532
Virginia,Accomack County,2020-02-29,16.718,-1.231,-1.202,16.39,6.049,19.886
Virginia,Accomack County,2020-03-01,12.311,24.341,-1.266,13.706,9.148,3.551
Virginia,Accomack County,2020-03-02,7.836,19.817,-0.532,9.201,1.954,4.871
Virginia,Accomack County,2020-03-03,8.681,39.724,0.149,19.086,1.993,1.86
Virginia,Accomack County,2020-03-04,9.019,38.718,-1.158,11.54,5.438,2.178
Virginia,Accomack County,2020-03-05,8.717,18.756,-0.724,6.637,4.342,3.313
Virginia,Accomack County,2020-03-06,2.904,5.192,0.487,0.72,2.59,0.766
Virginia,Accomack County,2020-03-07,18.004,27.402,-1.047,15.036,7.968,-3.788
Virginia,Accomack County,2020-03-08,8.049,62.269,-0.945,15.419,7.069,
Virginia,Accomack County,2020-03-09,14.288,64.076,-0.206,11.83,-1.063,1.499
Virginia,Accomack County,2020-03-10,12.564,39.566,-0.161,6.47,-1.499,1.488
Virginia,Accomack County,2020-03-11,9.019,40.431,-0.162,5.163,0.371,0.363
Virginia,Accomack County,2020-03-12,16.562,43.625,0.473,7.214,-2.923,
Virginia,Accomack County,2020-03-13,21.051,46.558,2.75,7.32,-7.998,0.383
Virginia,Accomack County,2020-03-14,32.15,37.031,2.546,9.347,-6.41,24.621
Virginia,Accomack County,2020-03-15,16.572,-12.752,4.813,5.825,-16.726,-7.102
Virginia,Accomack County,2020-03-16,30.881,10.003,8.813,3.615,-24.585,-13.115
Virginia,Accomack County,2020-03-17,11.422,52.456,10.7,-8.411,-25.49,-15.253
Virginia,Accomack County,2020-03-18,9.019,25.828,13.439,-16.096,-30.015,-17.785
Virginia,Accomack County,2020-03-19,8.281,62.011,14.228,-16.447,-33.978,-18.772
Virginia,Accomack County,2020-03-20,3.267,59.452,15.467,-17.521,-36.369,-17.616
Virginia,Accomack County,2020-03-21,9.002,5.864,10.947,-25.06,-33.653,3.788
Virginia,Accomack County,2020-03-22,-6.629,15.041,10.025,-19.874,-42.739,-22.491
Virginia,Accomack County,2020-03-23,-10.601,-28.83,18.621,-26.617,-49.48,-29.601
Virginia,Accomack County,2020-03-24,-7.31,29.254,17.267,-21.351,-42.971,-23.438
Virginia,Accomack County,2020-03-25,-19.39,-28.016,21.047,-40.999,-49.1,-30.488
Virginia,Accomack County,2020-03-26,-10.024,34.409,18.834,-32.606,-46.227,-25.029
Virginia,Accomack County,2020-03-27,-21.414,41.452,19.633,-33.602,-48.694,-25.276
Virginia,Accomack County,2020-03-28,-16.289,23.746,12.392,-30.478,-44.42,-12.311
Virginia,Accomack County,2020-03-29,-18.466,45.848,10.557,-30.839,-49.901,-27.225
Virginia,Accomack County,2020-03-30,-4.148,20.95,17.771,-26.288,-49.188,-26.229
Virginia,Accomack County,2020-03-31,-14.163,-14.574,20.554,-33.644,-51.121,-28.274
Virginia,Accomack County,2020-04-01,-11.273,-10.845,20.991,-35.532,-49.754,-32.303
Virginia,Accomack County,2020-04-02,-17.87,9.123,20.963,-36.069,-51.769,-29.814
Virginia,Accomack County,2020-04-03,-22.14,12.937,21.613,-31.202,-52.464,-28.722
Virginia,Accomack County,2020-04-04,-19.29,3.62,13.64,-35.354,-50.649,3.788
Virginia,Accomack County,2020-04-05,-19.413,20.781,11.805,-31.181,-55.954,-26.042
Virginia,Albemarle County,2020-02-23,-3.507,43.087,-0.679,2.449,4.167,0.93
Virginia,Albemarle County,2020-02-24,-4.615,3.633,0.258,-1.21,-2.51,-0.422
