state,county,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
Washington,Adams County,grocery/pharmacy,-30.048,11.792,6.01,,1.894,8.267,1.736,28.045,13.758,10.016,11.574,5.682,1.653,3.472,12.019,1.965,4.006,-1.929,11.364,41.336,41.667,34.054,37.343,14.022,11.574,3.788,6.614,8.681,14.022,-1.965,4.006,-5.787,-1.894,-3.307,-3.472,4.006,-1.965,-16.026,-7.716,-5.682,1.653,-1.736,20.032
Washington,Adams County,parks,-10.827,15.001,36.289,47.631,56.981,30.996,30.735,27.217,-6.536,22.617,56.486,21.387,13.342,17.53,33.618,48.948,36.969,46.255,38.737,-14.624,3.337,27.711,44.912,62.408,92.679,86.812,86.491,75.123,29.838,-3.946,-3.469,6.675,-15.039,-19.256,-26.153,-10.59,-25.905,-1.462,18.214,-1.448,-11.623,4.676,-11.428
Washington,Adams County,residential,0.017,-0.724,-0.447,-1.41,-1.47,-1.637,-1.192,-1.179,0.046,0.789,0.471,2.189,2.994,1.425,0.802,2.783,3.99,3.786,4.877,7.191,5.779,4.46,8.875,13.365,13.839,15.226,15.491,10.105,9.171,16.564,19.904,20.625,23.293,24.122,15.672,12.789,21.477,22.882,21.966,23.319,23.518,14.422,12.194
Washington,Adams County,retail/recreation,1.138,12.042,9.804,14.011,14.23,18.895,23.555,24.476,13.247,19.608,20.102,18.784,20.349,18.844,21.63,10.838,11.029,11.574,10.815,27.132,6.805,1.708,4.817,-14.706,-18.275,-15.938,-19.38,-21.985,-24.476,-27.095,-26.348,-30.458,-33.015,-39.729,-34.024,-31.876,-36.729,-31.25,-28.631,-38.707,-41.182,-41.353,-39.845
Washington,Adams County,transitstations,29.343,27.344,15.432,22.866,20.604,37.879,43.403,55.751,24.74,10.288,24.136,19.46,23.148,39.062,48.415,32.552,21.862,21.596,18.315,10.522,18.808,27.876,19.531,11.574,17.785,17.17,6.313,7.234,-5.869,-2.604,2.572,2.541,-11.447,-26.305,-20.255,-32.277,-13.021,-9.002,-7.622,-26.328,-16.835,-23.148,-16.138
Washington,Adams County,workplace,-8.681,-0.868,3.36,,,,-1.796,2.17,3.472,5.88,0.84,,2.583,-1.796,4.34,0.868,,0.84,1.653,-1.722,-17.96,-6.51,-1.736,-27.722,-31.082,-32.242,-32.713,-7.184,-19.531,-35.59,-36.962,-36.962,-39.683,-41.322,-23.348,-28.212,-37.326,-37.802,-42.843,-42.989,-40.461,-21.552,-32.552
Washington,Asotin County,grocery/pharmacy,0.168,-1.061,1.298,4.379,3.925,2.438,6.512,9.558,8.077,11.24,8.818,6.939,2.261,0.779,1.615,3.305,4.584,8.748,15.306,16.814,7.824,4.716,19.074,7.625,5.211,3.083,3.061,-9.05,-14.514,-8.752,-13.077,-16.129,-20.97,-22.266,-26.001,-25.625,-23.23,-17.811,-12.496,-15.799,-15.167,-18.689,-21.284
Washington,Asotin County,parks,-10.827,15.001,36.289,47.631,56.981,30.996,30.735,27.217,-6.536,22.617,56.486,21.387,13.342,17.53,33.618,48.948,36.969,46.255,38.737,-14.624,3.337,27.711,44.912,62.408,92.679,86.812,86.491,75.123,29.838,-3.946,-3.469,6.675,-15.039,-19.256,-26.153,-10.59,-25.905,-1.462,18.214,-1.448,-11.623,4.676,-11.428
Washington,Asotin County,residential,0.017,-0.724,-0.447,-1.41,-1.47,-1.637,-1.192,-1.179,0.046,0.789,0.471,2.189,2.994,1.425,0.802,2.783,3.99,3.786,4.877,7.191,5.779,4.46,8.875,13.365,13.839,15.226,15.491,10.105,9.171,16.564,19.904,20.625,23.293,24.122,15.672,12.789,21.477,22.882,21.966,23.319,23.518,14.422,12.194
Washington,Asotin County,retail/recreation,7.598,-1.575,5.774,14.847,11.649,7.569,14.551,31.127,7.424,17.554,16.497,11.649,1.982,6.921,14.461,7.199,9.47,15.79,14.337,12.435,-0.177,2.206,-1.125,-6.698,-5.185,-5.376,-12.976,-26.441,-18.137,-18.449,-14.32,-20.503,-30.018,-38.927,-43.122,-34.069,-35.547,-24.252,-16.968,-23.746,-22.167,-36.556,-31.127
