state,county,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
West Virginia,Barbour County,grocery/pharmacy,8.892,-1.157,8.286,5.787,-3.397,-2.104,-2.17,19.055,3.472,14.205,6.944,11.322,6.313,-1.085,20.325,10.417,-1.184,-1.157,22.645,22.096,9.766,15.244,5.787,18.939,15.046,7.926,10.522,,-10.163,-3.472,-9.47,-25.463,-13.587,-18.939,-13.021,-8.892,-9.259,-15.388,-12.731,-5.661,-1.052,3.255,-1.27
West Virginia,Barbour County,parks,50.062,3.785,9.759,7.382,-8.461,-2.648,4.593,40.009,0.946,9.368,26.498,22.035,-0.165,28.108,89.456,48.643,6.636,22.334,38.428,22.176,23.148,8.002,4.164,7.417,15.899,8.638,14.067,0.551,32.623,-21.956,5.27,-14.953,26.265,2.648,59.891,52.319,9.653,-14.248,-14.385,-1.763,7.613,45.929,28.109
West Virginia,Barbour County,residential,-0.894,1.237,-0.482,-1.003,2.388,1.067,-0.664,-1.807,0.656,-1.349,-1.312,-0.902,1.734,-0.647,-1.871,0.271,0.07,-0.395,-0.499,1.051,1.698,2.499,5.409,5.58,7.414,9.202,11.769,8.643,7.608,13.936,13.129,16.232,15.044,17.741,9.486,7.971,14.673,14.836,15.275,15.777,16.672,9.252,8.482
West Virginia,Barbour County,retail/recreation,8.36,3.633,9.613,13.642,4.781,8.118,12.993,21.84,11.648,19.69,15.793,13.385,0.596,12.117,18.077,12.726,10.859,10.369,11.735,6.652,-0.195,-3.239,-0.835,-4.642,-17.979,-22.212,-30.318,-35.308,-39.891,-33.746,-35.631,-46.164,-39.954,-43.502,-41.965,-37.6,-34.449,-36.62,-34.299,-35.519,-35.495,-39.824,-39.789
West Virginia,Barbour County,transitstations,8.65,3.73,2.877,4.893,3.295,2.815,6.969,17.561,4.712,5.946,8.657,7.688,4.927,13.706,25.162,7.264,3.644,7.152,7.688,6.335,4.878,12.581,1.178,-2.11,-3.576,-9.701,-19.004,-16.726,-17.561,-25.522,-23.017,-27.102,-28.006,-35.721,-31.826,-31.453,-29.056,-27.621,-26.16,-30.751,-35.721,-34.382,-36.433
West Virginia,Barbour County,workplace,3.375,2.244,2.174,1.955,-3.32,-0.719,1.819,3.645,2.192,2.579,1.972,2.565,0.351,2.531,3.375,0.103,0.017,-0.249,0.017,-2.579,-1.898,-4.95,-12.948,-15.929,-20.748,-22.651,-26.391,-21.907,-26.865,-33.295,-37.066,-41.976,-41.076,-41.008,-29.618,-32.625,-41.054,-42.073,-42.754,-42.35,-41.885,-29.895,-33.435
West Virginia,Berkeley County,grocery/pharmacy,2.312,-0.239,-1.688,-0.951,-4.103,0.302,3.255,6.551,4.181,3.135,5.708,1.14,-3.824,2.496,9.248,4.42,3.014,3.805,9.801,15.7,15.299,11.56,14.813,13.503,8.324,4.331,7.347,11.068,-6.551,-2.986,-6.028,-20.215,-14.36,-17.915,-19.857,-20.936,-13.26,-14.829,-10.345,-14.816,-11.373,-13.021,-15.285
West Virginia,Berkeley County,parks,50.062,3.785,9.759,7.382,-8.461,-2.648,4.593,40.009,0.946,9.368,26.498,22.035,-0.165,28.108,89.456,48.643,6.636,22.334,38.428,22.176,23.148,8.002,4.164,7.417,15.899,8.638,14.067,0.551,32.623,-21.956,5.27,-14.953,26.265,2.648,59.891,52.319,9.653,-14.248,-14.385,-1.763,7.613,45.929,28.109
West Virginia,Berkeley County,residential,-1.422,0.291,-0.138,-0.623,0.089,-0.521,-0.788,-2.118,-0.526,-0.568,-1.346,-0.793,0.04,-1.605,-1.717,-0.528,-0.454,-0.441,-0.982,2.074,0.991,2.886,5.407,6.423,8.922,10.392,12.599,9.094,8.104,14.405,13.97,17.914,16.2,17.934,12.873,9.58,14.998,16.321,16.713,17.641,19.161,12.355,10.152
West Virginia,Berkeley County,retail/recreation,5.872,3.317,5.994,12.307,6.558,10.422,11.285,18.122,8.552,13.808,16.702,11.373,4.732,12.668,14.57,7.962,7.663,9.376,10.884,8.958,4.647,-2.102,1.327,2.276,-16.482,-18.21,-25.577,-28.821,-35.955,-30.004,-28.754,-42.267,-33.838,-36.788,-43.426,-36.824,-29.93,-31.865,-28.203,-32.443,-32.844,-41.656,-40.376
