state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Wyoming,Albany County,2020-02-23,-4.401,6.994,-0.249,12.002,,6.313
Wyoming,Albany County,2020-02-24,1.766,-0.89,1.176,2.516,-1.521,10.187
Wyoming,Albany County,2020-02-25,-8.013,-4.532,2.609,0.236,4.473,8.232
Wyoming,Albany County,2020-02-26,3.307,1.628,-0.606,10.371,11.447,7.774
Wyoming,Albany County,2020-02-27,1.555,4.423,-0.803,15.991,20.584,9.072
Wyoming,Albany County,2020-02-28,16.718,20.326,-1.53,17.3,28.226,13.441
Wyoming,Albany County,2020-02-29,3.858,10.244,-2.194,14.598,23.148,-5.081
Wyoming,Albany County,2020-03-01,-11.737,-20.982,1.576,1.359,-18.784,-1.052
Wyoming,Albany County,2020-03-02,19.421,0.445,0.007,9.058,-48.662,11.83
Wyoming,Albany County,2020-03-03,6.41,2.884,-0.688,9.448,-64.545,11.082
Wyoming,Albany County,2020-03-04,14.881,6.919,-0.825,13.827,13.164,9.639
Wyoming,Albany County,2020-03-05,3.109,18.497,-1.079,20.434,12.475,9.072
Wyoming,Albany County,2020-03-06,11.574,31.995,-1.069,16.754,18.817,11.425
Wyoming,Albany County,2020-03-07,12.86,39.323,-2.51,20.004,26.803,-1.694
Wyoming,Albany County,2020-03-08,-4.401,2.945,-0.121,16.304,2.277,3.157
Wyoming,Albany County,2020-03-09,15.89,18.69,-1.022,17.11,8.364,14.458
Wyoming,Albany County,2020-03-10,6.41,15.245,-1.035,11.81,8.947,12.031
Wyoming,Albany County,2020-03-11,13.228,16.28,-1.296,15.441,9.158,10.572
Wyoming,Albany County,2020-03-12,38.868,4.423,0.094,24.876,25.574,7.82
Wyoming,Albany County,2020-03-13,29.578,-1.506,2.916,6.374,22.849,3.024
Wyoming,Albany County,2020-03-14,18.004,-14.54,3.366,-0.901,36.55,-11.009
Wyoming,Albany County,2020-03-15,4.401,2.945,1.732,-0.226,3.985,-10.522
Wyoming,Albany County,2020-03-16,35.311,15.575,4.178,6.29,6.083,-23.002
Wyoming,Albany County,2020-03-17,30.449,24.31,6.034,1.89,10.864,-26.912
Wyoming,Albany County,2020-03-18,31.415,15.873,7.495,-7.836,1.145,-34.515
Wyoming,Albany County,2020-03-19,9.328,-26.539,14.504,-29.984,-13.099,-37.225
Wyoming,Albany County,2020-03-20,-2.572,-16.562,15.32,-39.336,30.914,-38.306
Wyoming,Albany County,2020-03-21,-5.144,18.835,8.882,-39.108,41.423,-26.253
Wyoming,Albany County,2020-03-22,-13.204,9.203,7.893,-37.138,-1.708,-30.513
Wyoming,Albany County,2020-03-23,10.593,32.93,10.557,-25.664,9.124,-35.818
Wyoming,Albany County,2020-03-24,,11.537,12.612,-29.998,8.308,-39.26
Wyoming,Albany County,2020-03-25,-8.267,-0.407,13.887,-35.26,-4.579,-40.734
Wyoming,Albany County,2020-03-26,-15.547,12.063,14.583,-33.982,-4.99,-41.291
Wyoming,Albany County,2020-03-27,-19.29,-3.764,17.036,-49.534,6.72,-42.675
Wyoming,Albany County,2020-03-28,-28.292,-8.922,11.419,-47.758,19.493,-29.641
Wyoming,Albany County,2020-03-29,-27.876,29.449,8.291,-43.252,1.138,-30.513
Wyoming,Albany County,2020-03-30,-12.359,26.7,11.906,-31.2,4.562,-40.089
Wyoming,Albany County,2020-03-31,-4.808,7.829,13.371,-29.762,1.278,-42.743
Wyoming,Albany County,2020-04-01,-6.614,-8.954,14.747,-32.034,2.289,-42.6
Wyoming,Albany County,2020-04-02,-18.657,-34.983,18.999,-39.534,-6.238,-45.983
Wyoming,Albany County,2020-04-03,-20.576,-13.174,17.41,-38.243,18.145,-42.675
Wyoming,Albany County,2020-04-04,-14.146,5.287,10.882,-45.055,24.976,-32.182
Wyoming,Albany County,2020-04-05,-20.54,22.455,8.661,-40.761,-10.815,-30.513
Wyoming,Campbell County,2020-02-23,27.714,6.994,-0.249,9.331,-0.328,4.31
Wyoming,Campbell County,2020-02-24,-3.543,-0.89,1.176,-11.013,-3.152,1.574
Wyoming,Campbell County,2020-02-25,-14.487,-4.532,2.609,-10.357,-3.241,-20.987
Wyoming,Campbell County,2020-02-26,9.658,1.628,-0.606,8.632,4.558,3.24
Wyoming,Campbell County,2020-02-27,17.936,4.423,-0.803,7.848,9.235,3.54
Wyoming,Campbell County,2020-02-28,13.587,20.326,-1.53,16.229,16.904,4.23
Wyoming,Campbell County,2020-02-29,12.438,10.244,-2.194,9.909,18.794,1.177
Wyoming,Campbell County,2020-03-01,6.69,-20.982,1.576,4.742,-13.274,4.31
Wyoming,Campbell County,2020-03-02,6.378,0.445,0.007,9.637,-18.171,4.985
Wyoming,Campbell County,2020-03-03,2.759,2.884,-0.688,7.102,-17.91,6.654
Wyoming,Campbell County,2020-03-04,7.588,6.919,-0.825,11.85,9.902,4.486
Wyoming,Campbell County,2020-03-05,12.417,18.497,-1.079,13.271,8.425,3.54
Wyoming,Campbell County,2020-03-06,16.822,31.995,-1.069,13.964,15.604,4.759
Wyoming,Campbell County,2020-03-07,14.77,39.323,-2.51,13.625,20.956,1.177
Wyoming,Campbell County,2020-03-08,10.512,2.945,-0.121,2.447,4.425,
Wyoming,Campbell County,2020-03-09,25.51,18.69,-1.022,10.554,7.602,6.822
Wyoming,Campbell County,2020-03-10,13.797,15.245,-1.035,10.801,8.187,4.607
Wyoming,Campbell County,2020-03-11,17.936,16.28,-1.296,9.071,6.287,3.24
Wyoming,Campbell County,2020-03-12,20.695,4.423,0.094,5.85,9.721,1.77
Wyoming,Campbell County,2020-03-13,28.468,-1.506,2.916,3.271,3.251,2.379
Wyoming,Campbell County,2020-03-14,20.211,-14.54,3.366,-10.528,7.651,-4.12
Wyoming,Campbell County,2020-03-15,28.67,2.945,1.732,-7.342,-0.328,-3.592
Wyoming,Campbell County,2020-03-16,28.345,15.575,4.178,-1.836,3.152,-14.694
Wyoming,Campbell County,2020-03-17,27.594,24.31,6.034,-1.036,3.582,-17.66
Wyoming,Campbell County,2020-03-18,17.246,15.873,7.495,-6.876,-1.729,-20.933
Wyoming,Campbell County,2020-03-19,8.968,-26.539,14.504,-19.121,-26.57,-23.261
Wyoming,Campbell County,2020-03-20,23.939,-16.562,15.32,-24.532,-8.127,-24.588
Wyoming,Campbell County,2020-03-21,21.766,18.835,8.882,-33.69,9.314,-18.832
Wyoming,Campbell County,2020-03-22,9.557,9.203,7.893,-37.934,-10.979,-19.397
Wyoming,Campbell County,2020-03-23,11.338,32.93,10.557,-21.721,-3.894,-28.075
Wyoming,Campbell County,2020-03-24,3.449,11.537,12.612,-27.669,-8.699,-29.433
Wyoming,Campbell County,2020-03-25,-11.038,-0.407,13.887,-31.455,-12.103,-32.895
Wyoming,Campbell County,2020-03-26,-7.588,12.063,14.583,-31.678,-14.095,-33.627
Wyoming,Campbell County,2020-03-27,-6.47,-3.764,17.036,-32.835,-13.491,-33.841
Wyoming,Campbell County,2020-03-28,-11.66,-8.922,11.419,-38.025,-7.152,-25.306
Wyoming,Campbell County,2020-03-29,-1.911,29.449,8.291,-33.728,-14.421,-22.989
Wyoming,Campbell County,2020-03-30,-5.669,26.7,11.906,-24.627,-9.642,-30.961
Wyoming,Campbell County,2020-03-31,-5.519,7.829,13.371,-27.669,-9.04,-31.224
Wyoming,Campbell County,2020-04-01,-15.866,-8.954,14.747,-31.747,-12.417,-33.144
Wyoming,Campbell County,2020-04-02,-28.284,-34.983,18.999,-45.091,-20.576,-38.178
Wyoming,Campbell County,2020-04-03,-5.823,-13.174,17.41,-30.319,-10.728,-33.312
Wyoming,Campbell County,2020-04-04,6.996,5.287,10.882,-41.741,-4.99,-26.483
Wyoming,Campbell County,2020-04-05,8.601,22.455,8.661,-42.064,-21.139,-28.017
Wyoming,Carbon County,2020-02-23,4.883,6.994,-0.249,7.891,1.211,-2.042
Wyoming,Carbon County,2020-02-24,4.735,-0.89,1.176,-9.921,-15.462,4.304
Wyoming,Carbon County,2020-02-25,8.013,-4.532,2.609,1.344,-4.829,3.333
Wyoming,Carbon County,2020-02-26,-3.019,1.628,-0.606,0.311,2.381,2.367
Wyoming,Carbon County,2020-02-27,-1.467,4.423,-0.803,-3.138,10.753,
Wyoming,Carbon County,2020-02-28,10.417,20.326,-1.53,23.014,39.758,0.883
Wyoming,Carbon County,2020-02-29,5.411,10.244,-2.194,-1.197,18.763,3.531
Wyoming,Carbon County,2020-03-01,-11.393,-20.982,1.576,-5.524,-22.408,2.042
Wyoming,Carbon County,2020-03-02,4.735,0.445,0.007,-2.834,-71.615,0.861
Wyoming,Carbon County,2020-03-03,12.821,2.884,-0.688,15.457,-74.503,-2.5
Wyoming,Carbon County,2020-03-04,12.077,6.919,-0.825,5.286,16.071,3.157
Wyoming,Carbon County,2020-03-05,1.467,18.497,-1.079,13.178,12.769,-4.006
Wyoming,Carbon County,2020-03-06,5.208,31.995,-1.069,17.563,42.939,-3.531
Wyoming,Carbon County,2020-03-07,-4.058,39.323,-2.51,13.17,21.998,-1.766
Wyoming,Carbon County,2020-03-08,6.51,2.945,-0.121,14.205,4.239,8.17
Wyoming,Carbon County,2020-03-09,15.783,18.69,-1.022,9.921,8.138,7.748
Wyoming,Carbon County,2020-03-10,19.231,15.245,-1.035,13.777,7.588,4.167
Wyoming,Carbon County,2020-03-11,10.568,16.28,-1.296,10.883,9.524,
Wyoming,Carbon County,2020-03-12,30.81,4.423,0.094,28.865,18.145,0.801
Wyoming,Carbon County,2020-03-13,19.531,-1.506,2.916,16.049,25.445,-2.648
Wyoming,Carbon County,2020-03-14,13.528,-14.54,3.366,5.987,27.174,-3.531
Wyoming,Carbon County,2020-03-15,16.276,2.945,1.732,14.205,1.211,
Wyoming,Carbon County,2020-03-16,29.987,15.575,4.178,12.046,9.766,-10.331
Wyoming,Carbon County,2020-03-17,41.667,24.31,6.034,4.704,7.588,-15.0
Wyoming,Carbon County,2020-03-18,24.155,15.873,7.495,-5.908,-3.571,-19.729
Wyoming,Carbon County,2020-03-19,,-26.539,14.504,-20.708,-18.145,-20.833
Wyoming,Carbon County,2020-03-20,19.531,-16.562,15.32,-26.042,15.108,-23.835
Wyoming,Carbon County,2020-03-21,6.764,18.835,8.882,-24.545,33.644,-22.952
Wyoming,Carbon County,2020-03-22,-9.766,9.203,7.893,-23.674,-3.634,-26.552
Wyoming,Carbon County,2020-03-23,,32.93,10.557,-31.179,6.51,-26.687
Wyoming,Carbon County,2020-03-24,-3.205,11.537,12.612,-36.962,4.139,-27.5
