state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
YE,Overall,2020-02-23,2.307,1.477,1.008,6.577,1.736,6.958
YE,Overall,2020-02-24,3.678,0.703,1.145,6.55,6.33,8.133
YE,Overall,2020-02-25,2.986,2.442,1.477,7.065,7.748,7.047
YE,Overall,2020-02-26,-0.171,1.353,0.822,4.954,5.788,5.678
YE,Overall,2020-02-27,1.324,3.564,1.198,5.119,9.617,8.635
YE,Overall,2020-02-28,3.998,2.661,1.777,4.262,4.611,7.197
YE,Overall,2020-02-29,6.231,2.261,1.297,7.517,8.94,7.966
YE,Overall,2020-03-01,-3.049,-5.316,1.345,1.468,1.736,-1.461
YE,Overall,2020-03-02,4.665,2.108,-0.095,7.263,5.754,6.451
YE,Overall,2020-03-03,0.351,1.395,0.845,3.31,5.364,3.768
YE,Overall,2020-03-04,-0.428,5.074,0.8,2.477,4.051,3.67
YE,Overall,2020-03-05,1.489,3.564,0.441,3.631,10.182,6.253
YE,Overall,2020-03-06,2.417,4.657,1.52,-0.419,6.587,6.35
YE,Overall,2020-03-07,2.39,0.969,0.957,1.443,6.556,4.452
YE,Overall,2020-03-08,1.154,-1.477,0.974,2.819,6.366,2.435
YE,Overall,2020-03-09,3.14,-1.054,0.833,1.945,6.33,3.436
YE,Overall,2020-03-10,,0.698,1.13,0.573,3.576,3.558
YE,Overall,2020-03-11,-0.428,1.015,0.714,-0.805,5.209,2.493
YE,Overall,2020-03-12,-0.993,-0.648,0.692,-1.31,1.697,4.02
YE,Overall,2020-03-13,0.837,-0.665,1.368,-3.004,-0.659,3.599
YE,Overall,2020-03-14,2.988,-0.323,1.514,-0.601,,2.734
YE,Overall,2020-03-15,0.742,-1.477,1.047,0.94,-1.158,1.6
YE,Overall,2020-03-16,3.23,-3.864,2.134,-0.13,-1.151,-1.192
YE,Overall,2020-03-17,0.176,-0.698,1.945,-2.864,-3.576,-0.837
YE,Overall,2020-03-18,-0.684,-1.691,2.477,-1.362,-9.26,-2.631
YE,Overall,2020-03-19,0.496,-1.62,2.45,-3.929,-3.96,1.861
YE,Overall,2020-03-20,3.905,-3.992,2.222,-5.031,-2.635,7.515
YE,Overall,2020-03-21,6.829,-2.584,2.779,-1.143,-4.768,1.25
YE,Overall,2020-03-22,1.319,-5.907,2.712,-5.285,-6.366,-2.227
YE,Overall,2020-03-23,2.602,-5.972,3.087,-5.771,-9.782,-2.945
YE,Overall,2020-03-24,-2.108,-7.675,4.324,-10.057,-10.728,-5.861
YE,Overall,2020-03-25,-6.926,-6.765,4.115,-14.365,-24.308,-9.625
YE,Overall,2020-03-26,-4.22,-9.073,4.543,-12.798,-18.667,-2.308
YE,Overall,2020-03-27,-3.161,-12.64,4.262,-14.184,-16.468,4.657
YE,Overall,2020-03-28,1.793,-8.398,4.878,-8.299,-9.536,-0.937
YE,Overall,2020-03-29,-1.483,-8.861,5.13,-7.693,-9.26,-5.01
YE,Overall,2020-03-30,-0.09,-8.432,4.127,-7.976,-13.235,-6.381
YE,Overall,2020-03-31,-0.527,-7.326,4.579,-8.529,-14.304,-6.349
YE,Overall,2020-04-01,-3.335,-9.81,3.899,-10.526,-15.626,-7.686
YE,Overall,2020-04-02,-5.792,-8.749,5.024,-16.013,-20.364,-4.764
YE,Overall,2020-04-03,,-11.31,3.966,-12.577,-15.15,2.223
YE,Overall,2020-04-04,4.524,-4.522,4.234,-6.434,-11.92,-1.953
YE,Overall,2020-04-05,1.813,-6.202,4.38,-4.522,-11.575,-6.819
